Node Number	X Location (µm)	Y Location (µm)	Z Location (µm)	Directional Deformation (µm)
14036	2,6285	-1,6894	0,	1,8839e-004
14037	-1,6978	-2,43	0,	4,0655e-004
14038	-1,5083	-2,5522	0,	3,3838e-004
14039	-1,6894	-2,6285	0,	2,8064e-004
14040	1,6894	2,6285	0,	1,1698e-004
14041	1,6978	2,43	0,	1,8497e-004
14042	1,5082	2,5522	0,	1,4282e-004
14043	-2,43	1,6977	0,	3,9007e-004
14044	-2,5522	1,5082	0,	3,5165e-004
14045	-2,6285	1,6894	0,	3,1689e-004
14046	2,8453	-1,2941	0,	1,3027e-004
14047	2,6498	-1,3295	0,	1,8015e-004
14048	2,7444	-1,1238	0,	1,5359e-004
14049	1,2942	2,8453	0,	9,752e-005
14050	1,3295	2,6498	0,	1,2965e-004
14051	1,1238	2,7444	0,	1,2227e-004
14052	1,4757	-2,9679	0,	2,1109e-003
14053	1,2695	-3,0623	0,	2,2183e-003
14054	2,5758	2,0854	0,	3,6907e-004
14055	2,4298	2,2541	0,	2,1493e-004
14056	3,1507	-1,0318	0,	6,7012e-005
14057	3,214	-0,81566	0,	6,2985e-005
14058	0,81569	3,214	0,	6,1042e-005
14059	1,0319	3,1507	0,	5,9248e-005
14060	2,7263	-1,884	0,	1,2292e-004
14061	2,8485	-1,6945	0,	1,0183e-004
14062	3,0628	-1,2689	0,	7,5705e-005
14063	2,9682	-1,4747	0,	8,4533e-005
14064	1,6946	2,8485	0,	6,3973e-005
14065	1,8841	2,7263	0,	7,1892e-005
14066	-1,8841	-2,7263	0,	1,7821e-004
14067	-1,6946	-2,8485	0,	1,5349e-004
14068	1,269	3,0628	0,	5,8353e-005
14069	1,4747	2,9682	0,	5,908e-005
14070	-2,7263	1,8841	0,	2,1584e-004
14071	-2,8485	1,6946	0,	1,921e-004
14072	-0,70954	2,8804	0,	8,1621e-004
14073	-0,92539	2,8171	0,	1,9666e-003
14074	2,253	2,4306	0,	1,3667e-004
14075	2,0841	2,5769	0,	9,2686e-005
14076	2,5769	-2,0841	0,	1,8187e-004
14077	2,4307	-2,2529	0,	2,4144e-004
14078	-2,8804	-0,7095	0,	3,8442e-004
14079	-0,56986	3,2668	0,	1,6013e-004
14080	-0,35163	3,2977	0,	1,2847e-004
14081	-0,56883	-3,2666	0,	1,1318e-004
14082	-0,34978	-3,2976	0,	1,1772e-004
14083	3,2976	-0,34976	0,	5,9736e-005
14084	3,2666	-0,5688	0,	6,007e-005
14085	2,8804	0,70951	0,	4,6296e-004
14086	3,0044	0,86879	0,	3,962e-004
14087	-2,8143	0,93524	0,	2,6903e-004
14088	-2,3084	1,8595	0,	6,58e-004
14089	-2,1621	2,0284	0,	1,9193e-003
14090	-1,8595	-2,3084	0,	4,7516e-004
14091	-2,0284	-2,1621	0,	5,4229e-004
14092	-0,109	-2,9643	0,	2,5735e-004
14093	0,10825	-2,9647	0,	2,7714e-004
14094	2,9643	-0,10899	0,	1,3284e-004
14095	2,9647	0,10824	0,	1,6164e-004
14096	-2,9682	1,4747	0,	1,6763e-004
14097	-3,0628	1,269	0,	1,5395e-004
14098	2,5561	1,5019	0,	1,355e-003
14099	2,4344	1,6915	0,	1,2761e-003
14100	0,9254	-2,8171	0,	4,0913e-003
14101	-2,9643	0,10899	0,	2,7987e-004
14102	-2,9507	0,30315	0,	2,6822e-004
14103	1,6868	-2,6304	0,	2,6615e-003
14104	1,502	-2,5561	0,	3,9716e-003
14105	1,6916	-2,4343	0,	3,3155e-003
14106	-3,3143	0,10899	0,	1,4332e-004
14107	-3,129	7,521e-004	0,	2,245e-004
14108	-3,3147	-0,10824	0,	1,4608e-004
14109	-3,2666	0,56879	0,	1,3972e-004
14110	-3,0976	0,43702	0,	2,0937e-004
14111	-3,2976	0,34976	0,	1,3949e-004
14112	-2,4298	-2,2542	0,	2,5873e-004
14113	-2,2542	2,4298	0,	1,6165e-003
14114	0,35164	-3,2977	0,	1,4862e-004
14115	3,2977	0,35162	0,	7,9182e-005
14116	-1,6958	2,8476	0,	1,7906e-003
14117	-1,4757	2,9679	0,	1,4448e-003
14118	-2,9679	-1,4757	0,	2,2374e-004
14119	-2,8476	-1,6958	0,	2,4815e-004
14120	2,8466	1,2909	0,	7,4063e-004
14121	2,6529	1,3228	0,	1,248e-003
14122	-3,2668	-0,56983	0,	1,5868e-004
14123	-1,6915	2,4343	0,	4,2724e-003
14124	-1,6868	2,6304	0,	3,1201e-003
14125	0,86882	-3,0043	0,	2,1958e-003
14126	1,0322	-3,1506	0,	1,7962e-003
14127	0,81631	-3,2139	0,	8,9097e-004
14128	-3,0033	0,87221	0,	2,1206e-004
14129	-3,214	0,81566	0,	1,4168e-004
14130	-3,1507	1,0318	0,	1,4646e-004
14131	-1,1166	2,7473	0,	2,59e-003
14132	-1,2909	2,8466	0,	2,1541e-003
14133	-2,8466	-1,2909	0,	3,806e-004
14134	-2,7473	-1,1166	0,	4,81e-004
14135	-2,6529	-1,3228	0,	5,3515e-004
14136	0,109	3,3143	0,	8,2626e-005
14137	0,34979	3,2976	0,	7,1658e-005
14138	3,1506	1,0321	0,	2,6549e-004
14139	3,0623	1,2694	0,	3,4641e-004
14140	0,43473	-3,0985	0,	3,6563e-004
14141	0,29772	-2,9518	0,	3,1784e-004
14142	0,51595	-2,921	0,	8,2922e-004
14143	3,0986	0,43471	0,	1,7306e-004
14144	2,9518	0,2977	0,	2,0141e-004
14145	2,921	0,51592	0,	3,0136e-004
14146	-1,269	-3,0628	0,	1,1963e-004
14147	-1,0319	-3,1506	0,	1,1378e-004
14148	2,0854	-2,5758	0,	9,8902e-004
14149	1,8854	-2,7258	0,	1,4234e-003
14150	7,5671e-004	3,129	0,	1,5167e-004
14151	0,109	2,9643	0,	1,7864e-004
14152	-0,10825	2,9647	0,	2,1929e-004
14153	-2,6304	-1,6867	0,	4,5579e-004
14154	-2,5561	-1,5019	0,	5,7927e-004
14155	-2,4344	-1,6915	0,	6,0955e-004
14156	-2,0451	2,3626	0,	2,9798e-003
14157	-1,8521	2,3149	0,	4,1927e-003
14158	-2,0208	2,1689	0,	3,3833e-003
14159	-2,3627	-2,0451	0,	4,6446e-004
14160	-2,3149	-1,852	0,	6,142e-004
14161	-2,1689	-2,0208	0,	5,9038e-004
14162	2,0451	-2,3626	0,	1,3966e-003
14163	1,8521	-2,3149	0,	2,7612e-003
14164	2,0208	-2,1689	0,	1,4557e-003
14165	0,43705	3,0976	0,	1,1584e-004
14166	0,52222	2,9198	0,	1,4122e-004
14167	0,30318	2,9507	0,	1,5952e-004
14168	-0,87225	-3,0032	0,	1,7727e-004
14169	-0,93528	-2,8142	0,	2,3205e-004
14170	-0,71913	-2,8775	0,	2,2207e-004
14171	-1,2942	-2,8453	0,	2,0603e-004
14172	-1,3296	-2,6497	0,	2,9021e-004
14173	-1,1238	-2,7443	0,	2,5231e-004
14174	1,6958	-2,8476	0,	1,6606e-003
14175	-1,2695	3,0623	0,	1,2601e-003
14176	2,9679	1,4757	0,	4,4237e-004
14177	0,70954	-2,8804	0,	2,0182e-003
14178	-3,0623	-1,2695	0,	2,023e-004
14179	-2,9647	-0,10824	0,	2,9685e-004
14180	-2,9198	0,52218	0,	2,6407e-004
14181	2,2542	-2,4298	0,	6,1911e-004
14182	-0,10825	3,3147	0,	9,5567e-005
14183	0,56883	3,2666	0,	6,6471e-005
14184	-2,0854	2,5758	0,	2,1764e-003
14185	-2,5758	-2,0854	0,	2,6805e-004
14186	-3,2977	-0,35161	0,	1,535e-004
14187	-0,8157	-3,214	0,	1,1103e-004
14188	3,2139	0,81628	0,	1,61e-004
14189	-2,8776	0,71908	0,	2,6219e-004
14190	-1,8854	2,7258	0,	2,0221e-003
14191	-2,7258	-1,8854	0,	2,6242e-004
14192	-1,4747	-2,9682	0,	1,3298e-004
14193	0,56987	-3,2668	0,	2,5095e-004
14194	3,2668	0,56984	0,	1,07e-004
14195	-2,8171	-0,92535	0,	4,3007e-004
1137	-0,16991	0,18457	0,	-0,14908
1138	2,893e-002	2,4176e-002	0,	-0,16757
1139	1,3656e-002	0,25483	0,	-0,14875
1140	-0,1836	-4,218e-003	0,	-0,1589
1141	-0,11837	-0,20222	0,	-0,15241
1142	0,10932	-0,20157	0,	-0,15206
1143	0,16102	0,19356	0,	-0,14951
1144	0,21196	-7,5719e-002	0,	-0,15327
1145	0,25601	7,0628e-002	0,	-0,14882
1146	-0,34761	8,1314e-002	0,	-0,13425
1147	-0,33283	-9,7609e-002	0,	-0,13664
1148	0,17228	0,37018	0,	-0,12306
1149	0,30759	-0,20926	0,	-0,12954
1150	0,37691	-6,4852e-002	0,	-0,12816
1151	4,3152e-002	-0,38695	0,	-0,12741
1152	0,33089	0,24537	0,	-0,12259
1153	-0,11735	-0,39006	0,	-0,12478
1154	-0,34127	0,22861	0,	-0,1215
1155	-0,31279	-0,24668	0,	-0,12761
1156	-0,26874	0,34763	0,	-0,11588
1157	0,23145	-0,34983	0,	-0,1195
1158	0,42884	8,535e-002	0,	-0,11673
1159	-0,23553	-0,34446	0,	-0,12389
1160	-0,11817	0,37268	0,	-0,12547
1161	0,3385	0,42904	0,	-9,0259e-002
1162	1,9495e-002	0,4157	0,	-0,12058
1163	-0,5315	-4,3997e-003	0,	-9,621e-002
1164	-0,39369	-0,39274	0,	-8,9479e-002
1165	0,4566	0,34563	0,	-8,2134e-002
1166	0,51152	0,21508	0,	-8,6543e-002
1167	-0,49537	0,19306	0,	-9,3192e-002
1168	-0,43142	0,34581	0,	-8,5916e-002
1169	0,54285	-5,0819e-002	0,	-8,878e-002
1170	0,19894	-0,50728	0,	-8,8374e-002
1171	-0,35239	0,46216	0,	-7,7094e-002
1172	0,3378	-0,4618	0,	-7,9101e-002
1173	8,8242e-002	0,54033	0,	-8,8519e-002
1174	0,57328	8,449e-002	0,	-7,9975e-002
1175	-0,22996	-0,49547	0,	-9,282e-002
1176	0,41441	-0,34388	0,	-8,864e-002
1177	-6,913e-002	0,53963	0,	-8,8139e-002
1178	-0,21935	0,50485	0,	-8,6619e-002
1179	-7,0533e-002	-0,53736	0,	-9,2069e-002
1180	-0,48151	-0,20879	0,	-9,7454e-002
1181	0,49048	-0,20242	0,	-9,1265e-002
1182	6,9367e-002	-0,56042	0,	-8,365e-002
1183	0,22666	0,52381	0,	-8,2871e-002
1184	0,67761	0,17562	0,	-4,2876e-002
1185	0,7	8,5725e-017	0,	-4,2531e-002
1186	0,4973	0,49264	0,	-4,2853e-002
1187	-0,60499	0,35212	0,	-3,9516e-002
1188	0,60847	0,34608	0,	-4,2586e-002
1189	-0,60847	-0,34608	0,	-4,5489e-002
1190	-0,67761	-0,17562	0,	-4,6154e-002
1191	-0,49264	0,4973	0,	-3,6887e-002
1192	-0,4973	-0,49264	0,	-4,4955e-002
1193	-0,35212	-0,60499	0,	-4,345e-002
1194	0,35212	0,60499	0,	-4,2979e-002
1195	0,67583	-0,18236	0,	-4,0665e-002
1196	-0,67583	0,18236	0,	-4,2919e-002
1197	-0,7	-5,5105e-008	0,	-4,6196e-002
1198	0,17562	-0,67761	0,	-3,5371e-002
1199	0,34608	-0,60847	0,	-3,4439e-002
1200	0,18236	0,67583	0,	-4,1245e-002
1201	-2,755e-008	0,7	0,	-3,7648e-002
1202	-0,18236	-0,67583	0,	-4,2424e-002
1203	-0,34608	0,60847	0,	-3,4674e-002
1204	0,60499	-0,35212	0,	-3,74e-002
1205	0,49264	-0,4973	0,	-3,3993e-002
1206	-0,17562	0,67761	0,	-3,4918e-002
1207	8,2605e-008	-0,7	0,	-3,9036e-002
1208	-0,2885	-1,0094	0,	1,0767e-002
1209	-0,11928	-0,8783	0,	1,4419e-002
1210	-0,14175	-1,0677	0,	1,4279e-002
1214	-0,35293	-0,8122	0,	8,7324e-003
1216	-1,0436	1,3775e-002	0,	1,1878e-002
1217	-1,0643	0,17931	0,	1,0401e-002
1218	-0,87658	0,14728	0,	8,178e-003
1222	-0,7496	0,71784	0,	4,3122e-002
1223	-0,73393	0,86077	0,	4,7799e-002
1224	-0,58699	0,8684	0,	5,0877e-002
1228	-0,44531	-0,97937	0,	1,085e-002
1230	-0,53556	0,67619	0,	2,9443e-002
1232	-0,78609	-0,37281	0,	1,4403e-002
1233	-0,99933	-0,3783	0,	1,6013e-002
1234	-0,87041	-0,23424	0,	1,4141e-002
1238	2,4419e-002	-1,0443	0,	2,4918e-002
1240	-0,96789	0,72783	0,	3,0147e-002
