Node Number	X Location (µm)	Y Location (µm)	Z Location (µm)	Directional Deformation (µm)
22016	1,3031	1,8001	0,	1,5877e-004
22017	1,3104	1,6575	0,	2,965e-004
22018	1,1678	1,7609	0,	1,8613e-004
22019	2,0362	0,56505	0,	7,7491e-004
22020	1,9818	0,73255	0,	1,4373e-003
22021	2,114	0,68554	0,	6,4935e-004
22022	1,0036	1,983	0,	9,7944e-005
22023	1,0307	1,8445	0,	1,4628e-004
22024	0,87384	1,9241	0,	1,1726e-004
22025	1,9798	1,01	0,	1,3408e-003
22026	1,9206	0,88088	0,	1,9027e-003
22027	1,8408	1,0378	0,	2,3097e-003
22028	-1,9797	-1,01	0,	5,0124e-004
22029	-1,9206	-0,88089	0,	6,3761e-004
22030	-1,8408	-1,0378	0,	6,8526e-004
22031	-0,98747	-2,1468	0,	1,4453e-004
22032	-2,2726	-0,64649	0,	2,1261e-004
22033	-2,2182	-0,81401	0,	2,3063e-004
22034	0,6465	-2,2726	0,	1,6227e-003
22035	0,81401	-2,2182	0,	2,6245e-003
22036	2,2183	0,81397	0,	4,2531e-004
22037	2,2726	0,64646	0,	2,5808e-004
22038	1,6552	1,3137	0,	1,6018e-003
22039	1,7583	1,1721	0,	2,2699e-003
22040	1,4548	1,8617	0,	1,0107e-004
22041	1,3122	1,965	0,	7,4262e-005
22042	1,1444	2,0672	0,	5,9955e-005
22043	0,9875	2,1468	0,	5,5875e-005
22044	2,0626	1,1531	0,	7,14e-004
22045	2,1425	0,99613	0,	5,7946e-004
22046	-2,1425	-0,9962	0,	2,5696e-004
22047	-2,0626	-1,1531	0,	2,7927e-004
22048	-0,80675	-2,2211	0,	1,2969e-004
22049	-0,6399	-2,2745	0,	1,2246e-004
22050	2,2211	-0,80672	0,	5,8752e-005
22051	2,2745	-0,63987	0,	5,6052e-005
22052	0,80677	2,2211	0,	5,2788e-005
22053	0,63992	2,2745	0,	5,2499e-005
22054	-2,2211	0,80676	0,	1,5362e-004
22055	-2,2745	0,63991	0,	1,4665e-004
22056	0,28097	-2,3462	0,	1,5388e-004
22057	0,45329	-2,319	0,	4,8577e-004
22058	-2,319	-0,45326	0,	1,9109e-004
22059	-2,3462	-0,28094	0,	1,7948e-004
22060	2,3462	0,28095	0,	9,4032e-005
22061	2,319	0,45326	0,	1,5126e-004
22062	1,6048	1,7342	0,	1,6905e-004
22063	1,7288	1,6109	0,	2,9843e-004
22064	-2,3469	0,2754	0,	1,458e-004
22065	-2,3202	0,4469	0,	1,4442e-004
22066	0,27543	2,3469	0,	5,6457e-005
22067	0,44693	2,3202	0,	5,4429e-005
22068	2,3202	-0,4469	0,	5,4718e-005
22069	2,3469	-0,27542	0,	5,5796e-005
22070	-2,3614	-8,6703e-002	0,	1,628e-004
22071	-2,3615	8,5007e-002	0,	1,5438e-004
22072	2,3615	-8,5009e-002	0,	6,0878e-005
22073	2,3614	8,6707e-002	0,	6,9518e-005
22074	-1,7583	-1,1721	0,	7,1643e-004
22075	-1,6552	-1,3137	0,	7,2059e-004
22076	-1,9241	0,87382	0,	3,0299e-004
22077	-1,8445	1,0307	0,	3,3191e-004
22078	1,9241	-0,87382	0,	1,3182e-004
22079	1,8445	-1,0307	0,	1,572e-004
22080	8,5017e-002	2,1115	0,	1,3556e-004
22081	-8,6706e-002	2,1114	0,	1,7008e-004
22082	-1,1678	-1,7609	0,	4,5482e-004
22083	-0,28095	2,3462	0,	1,0946e-004
22084	-1,4609	1,8573	0,	2,3579e-003
22085	-1,6109	1,7287	0,	1,8811e-003
22086	1,6109	-1,7287	0,	5,092e-004
22087	-1,7287	-1,6109	0,	2,9687e-004
22088	1,965	-1,3122	0,	9,3547e-005
22089	-1,965	1,3122	0,	2,024e-004
22090	-0,814	2,2182	0,	9,7069e-004
22091	-0,99618	2,1425	0,	1,5167e-003
22092	-0,73258	1,9818	0,	2,6176e-003
22093	-0,68556	2,114	0,	1,3288e-003
22094	-0,56506	2,0362	0,	1,1241e-003
22095	-1,3085	1,7967	0,	3,9319e-003
22096	-1,1721	1,7583	0,	4,5267e-003
22097	-1,3137	1,6552	0,	5,2561e-003
22098	1,4314	-1,5547	0,	1,7636e-003
22099	1,5547	-1,4307	0,	5,6667e-004
22100	1,5734	-1,5696	0,	6,8802e-004
22101	-1,5547	-1,4314	0,	6,8962e-004
22102	-1,4307	-1,5547	0,	6,2518e-004
22103	-1,5696	-1,5734	0,	5,0925e-004
22104	-1,4314	1,5547	0,	4,0976e-003
22105	-1,5547	1,4307	0,	2,0452e-003
22106	-1,5734	1,5696	0,	2,1631e-003
22107	-1,4547	-1,8617	0,	2,3727e-004
22108	-1,3031	-1,8001	0,	3,8145e-004
22109	-0,23982	2,0996	0,	2,1769e-004
22110	-0,41214	2,0724	0,	4,6457e-004
22111	-0,34573	2,1956	0,	2,2493e-004
22112	1,7609	-1,1678	0,	1,9966e-004
22113	1,8001	-1,303	0,	1,7689e-004
22114	1,6576	-1,3103	0,	3,0531e-004
22115	-1,7609	1,1678	0,	3,566e-004
22116	-1,8001	1,3031	0,	4,0483e-004
22117	-1,6576	1,3103	0,	7,8172e-004
22118	-0,88091	1,9206	0,	3,2691e-003
22119	-1,0379	1,8407	0,	3,9514e-003
22120	-1,01	1,9797	0,	2,7226e-003
22121	-0,27541	-2,3469	0,	1,2187e-004
22122	-8,5009e-002	-2,3615	0,	1,3593e-004
22123	1,7047e-003	-2,2229	0,	2,291e-004
22124	-8,5009e-002	-2,1115	0,	2,8244e-004
22125	8,6714e-002	-2,1114	0,	2,6374e-004
22126	1,1531	-2,0626	0,	2,1412e-003
22127	-0,34151	-2,1963	0,	1,9016e-004
22128	-0,40812	-2,0732	0,	2,3929e-004
22129	-0,23662	-2,1	0,	2,4869e-004
22130	1,01	-1,9797	0,	4,3156e-003
22131	0,88091	-1,9206	0,	6,0028e-003
22132	1,0379	-1,8407	0,	4,8229e-003
22133	8,6714e-002	-2,3614	0,	1,5009e-004
22134	-0,44691	-2,3202	0,	1,205e-004
22135	0,99619	-2,1425	0,	2,5108e-003
22136	-1,3104	-1,6576	0,	5,4358e-004
22137	1,8617	-1,4547	0,	1,1471e-004
22138	-1,8617	1,4547	0,	2,7831e-004
22139	-0,64649	2,2726	0,	5,5316e-004
22140	-1,3194	1,9604	0,	2,2977e-003
22141	-1,1531	2,0626	0,	1,763e-003
22142	1,7342	-1,6047	0,	2,4721e-004
22143	-1,7342	1,6048	0,	9,0844e-004
22144	-1,6047	-1,7342	0,	2,739e-004
22145	-0,45327	2,319	0,	1,4473e-004
14588	0,12135	0,99261	0,	2,0871e-003
14590	0,99261	-0,12135	0,	3,8201e-003
14592	0,56784	-0,82314	0,	4,3922e-002
14594	-1,	-1,2246e-016	0,	7,9936e-003
14596	-0,82314	-0,56784	0,	8,5927e-003
14598	0,82264	-0,56856	0,	1,3482e-002
14600	-0,56856	-0,82264	0,	8,2557e-003
14602	0,99272	0,12048	0,	1,0411e-002
14604	-0,56856	0,82264	0,	4,8883e-002
14606	-0,4653	0,88515	0,	4,6382e-002
14608	3,9357e-008	-1,	0,	1,7645e-002
14610	0,82314	0,56784	0,	1,6629e-002
14612	0,12048	-0,99272	0,	3,0529e-002
14614	-0,74873	-0,66288	0,	8,6352e-003
14616	0,74873	0,66288	0,	1,5221e-002
14618	0,74815	-0,66353	0,	2,6788e-002
14620	-0,66353	-0,74815	0,	8,5041e-003
14622	-0,99272	0,12048	0,	7,6539e-003
14624	-0,82314	0,56784	0,	2,6985e-002
14626	-0,99272	-0,12048	0,	8,2422e-003
14628	-0,12135	0,99261	0,	1,7864e-002
14630	-0,97097	-0,23921	0,	8,6467e-003
14632	0,97097	0,23921	0,	1,3726e-002
14634	-0,88556	0,46453	0,	1,4989e-002
14636	-0,88556	-0,46453	0,	8,8462e-003
14638	0,88515	-0,4653	0,	4,6173e-003
14640	0,4653	0,88515	0,	5,6795e-003
14642	-0,4653	-0,88515	0,	8,1551e-003
14644	-0,24006	0,97076	0,	3,1994e-002
14646	-0,93507	-0,35445	0,	8,8426e-003
14648	0,93477	-0,35527	0,	1,5224e-003
14650	0,35527	0,93477	0,	3,0787e-003
14652	-0,35527	-0,93477	0,	7,9976e-003
14654	-1,1801e-007	1,	0,	6,8757e-003
14656	1,	7,8721e-008	0,	6,6828e-003
14658	0,66288	-0,74873	0,	3,8057e-002
14660	0,46453	-0,88556	0,	4,6483e-002
14662	0,97076	-0,24006	0,	1,9455e-003
14664	0,24006	0,97076	0,	1,6165e-003
14666	-0,35527	0,93477	0,	4,1913e-002
14668	-0,66353	0,74815	0,	4,8387e-002
14669	-0,74873	0,66288	0,	4,043e-002
14672	-0,24006	-0,97076	0,	7,954e-003
14673	-0,12135	-0,99261	0,	1,0023e-002
14676	0,66353	0,74815	0,	1,2573e-002
14677	0,56856	0,82264	0,	9,1354e-003
14680	0,93507	0,35445	0,	1,5882e-002
14681	0,88556	0,46453	0,	1,6769e-002
14684	0,35445	-0,93507	0,	4,7497e-002
14685	0,23921	-0,97097	0,	4,2316e-002
14688	-0,93507	0,35445	0,	8,9772e-003
14689	-0,97097	0,23921	0,	7,7771e-003
20575	-5,9152e-002	0,89448	0,	1,8565e-002
20576	-5,2025e-002	-0,89542	0,	1,9881e-002
20577	0,89447	-5,0659e-002	0,	6,8125e-003
20578	0,16029	0,87955	0,	3,7204e-003
20579	-0,70237	-0,55273	0,	1,1894e-002
20580	-0,81768	-0,36534	0,	1,2047e-002
20581	0,5569	-0,70772	0,	4,9195e-002
20582	0,71745	0,55391	0,	1,6736e-002
20583	0,36875	-0,8142	0,	5,5676e-002
20584	0,82349	0,37922	0,	1,705e-002
20585	-0,89494	-4,9976e-002	0,	1,1809e-002
20586	-0,76062	0,47097	0,	2,9532e-002
20587	-0,26786	-0,85352	0,	1,2008e-002
20588	-0,46908	-0,76781	0,	1,1751e-002
20589	0,16159	-0,88601	0,	4,4201e-002
20590	0,87422	0,16676	0,	1,36e-002
20591	0,85387	-0,26534	0,	3,3744e-003
20592	0,76657	-0,46773	0,	1,4215e-002
20593	0,36991	0,81655	0,	5,9693e-003
20594	-0,85604	0,26645	0,	1,2372e-002
20595	-0,26983	0,85696	0,	4,5095e-002
20596	-0,46412	0,76632	0,	5,6222e-002
20597	0,55248	0,69745	0,	1,2374e-002
20598	-0,63909	0,62122	0,	5,2208e-002
20599	4,9798e-002	0,8926	0,	8,133e-003
20600	-0,71872	0,5611	0,	4,0353e-002
20601	-0,55293	0,69657	0,	5,7621e-002
20602	0,78236	0,47366	0,	1,7314e-002
20603	0,46762	-0,7687	0,	5,3426e-002
20604	-0,76321	-0,45973	0,	1,1918e-002
20605	-0,90092	5,7056e-002	0,	1,1324e-002
20606	0,4652	0,76454	0,	9,1124e-003
20607	-0,16709	0,87837	0,	3,297e-002
20608	-0,37209	0,82416	0,	5,2319e-002
20609	-0,81379	0,3707	0,	1,7788e-002
20610	0,2678	0,85227	0,	3,8594e-003
20611	0,87875	-0,15765	0,	4,4649e-003
20612	0,81584	-0,36934	0,	5,8749e-003
20613	-0,16099	-0,88105	0,	1,3455e-002
20614	-0,37081	-0,81543	0,	1,2065e-002
20615	0,85054	0,27596	0,	1,6014e-002
20616	0,26525	-0,85394	0,	5,3368e-002
20617	0,89289	5,8055e-002	0,	1,0233e-002
20618	5,5278e-002	-0,89978	0,	3,1109e-002
20619	-0,85627	-0,2643	0,	1,1996e-002
20620	0,70973	-0,55957	0,	2,677e-002
20621	-0,55948	-0,71137	0,	1,1462e-002
20622	-0,87897	-0,1585	0,	1,1846e-002
20623	0,63822	0,62576	0,	1,5087e-002
20624	0,63694	-0,63887	0,	4,0012e-002
20625	-0,63716	-0,63893	0,	1,1497e-002
20626	-0,88742	0,16283	0,	1,1036e-002
20627	-0,74484	0,28222	0,	1,9858e-002
20628	-0,69519	0,38052	0,	3,0231e-002
20629	-0,10668	0,79807	0,	3,1585e-002
20630	0,76965	-0,18461	0,	5,1974e-003
20631	-0,19031	-0,77211	0,	1,6931e-002
20632	-0,53196	0,57119	0,	6,0447e-002
20633	0,37733	0,7123	0,	8,3318e-003
20634	0,75633	0,20772	0,	1,4949e-002
20635	0,28119	-0,73778	0,	6,082e-002
20636	0,19102	0,76934	0,	5,4879e-003
20637	9,4209e-003	-0,79847	0,	3,283e-002
20638	0,80527	6,3649e-003	0,	9,2876e-003
20639	0,53192	0,57488	0,	1,371e-002
20640	-0,38049	-0,70329	0,	1,6362e-002
20641	0,70199	-0,37633	0,	1,5103e-002
20642	-0,3685	0,7179	0,	5,986e-002
20643	-0,64516	-0,44863	0,	1,7676e-002
20644	0,46759	-0,66837	0,	5,689e-002
20645	-0,63006	0,48713	0,	4,6485e-002
20646	0,44501	0,64541	0,	1,0954e-002
20647	0,18143	-0,77515	0,	5,4317e-002
20648	-0,19923	0,75292	0,	4,6629e-002
20649	0,78324	-8,2233e-002	0,	6,524e-003
20650	-9,108e-002	-0,79197	0,	2,2294e-002
20651	-0,44611	0,64876	0,	6,3112e-002
20652	0,73706	0,3151	0,	1,6531e-002
20653	8,9635e-002	0,78937	0,	9,3553e-003
20654	0,61885	0,50823	0,	1,6065e-002
20655	-0,29617	0,7699	0,	5,4029e-002
20656	0,74319	-0,28339	0,	7,3363e-003
20657	0,28859	0,73439	0,	6,0235e-003
20658	-0,2858	-0,73839	0,	1,6173e-002
20659	0,37978	-0,69775	0,	6,0685e-002
20660	-0,70052	-0,35536	0,	1,761e-002
20661	0,77808	9,7791e-002	0,	1,2107e-002
20662	9,8146e-002	-0,81139	0,	4,3148e-002
20663	-1,4435e-002	0,79086	0,	1,9533e-002
20664	0,65486	-0,46773	0,	2,7268e-002
20665	-0,46848	-0,65801	0,	1,6346e-002
20666	0,52872	-0,59443	0,	5,0654e-002
20667	-0,58784	-0,53865	0,	1,6722e-002
20668	-0,77832	0,18313	0,	1,5722e-002
20669	-0,80155	1,4226e-002	0,	1,6162e-002
20670	-0,76464	-0,18823	0,	1,7678e-002
20671	0,69362	0,46424	0,	1,7244e-002
20672	0,73222	0,40081	0,	1,7347e-002
20673	-0,75544	-0,28096	0,	1,6628e-002
20674	-0,78735	-8,6554e-002	0,	1,7352e-002
20675	0,61325	-0,54798	0,	3,8725e-002
20676	-0,5436	-0,61641	0,	1,556e-002
20677	-0,81311	0,10062	0,	1,4589e-002
20678	0,29649	-0,62143	0,	6,2868e-002
20679	0,66292	0,13527	0,	8,9404e-003
20680	-0,57996	0,36201	0,	3,7178e-002
20681	0,63293	-0,28835	0,	1,2743e-002
20682	-0,20352	-0,65971	0,	1,8946e-002
20683	-0,41666	0,53342	0,	6,1601e-002
20684	0,67335	-0,11514	0,	3,9812e-003
20685	-3,1898e-002	-0,6951	0,	3,1003e-002
20686	0,42229	0,52577	0,	7,6613e-003
20687	-0,58414	-0,34423	0,	3,0589e-002
20688	0,40749	-0,58105	0,	5,9112e-002
20689	-0,30132	-0,62472	0,	1,9285e-002
20690	0,63973	0,25756	0,	1,1738e-002
20691	-0,50235	0,4492	0,	5,2912e-002
